127.0.0.1 - - [13/Jan/2021:09:55:41 +0800] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/ HTTP/1.1" 200 7856
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/uploadfile/20210109104041867.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/files/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/files/jquery.loadmask.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/files/new.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/img/gwc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/uploadfile/20210111132104695.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/images4/new/a45.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/images4/a5_02_popoo.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/images4/a1_2.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/images4/logo.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/images4/a8.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:09:56:25 +0800] "GET /dingcan/images4/a2.png HTTP/1.1" 404 -
